"PurchasePrice","MaintenanceCost","Doors","Passengers","Cargo","Safety","Acceptability"
"very high","very high",2,2,"small","low","unacceptable"
"very high","very high",2,2,"small","medium","unacceptable"
"very high","very high",2,2,"small","high","unacceptable"
"very high","very high",2,2,"medium","low","unacceptable"
"very high","very high",2,2,"medium","medium","unacceptable"
"very high","very high",2,2,"medium","high","unacceptable"
"very high","very high",2,2,"large","low","unacceptable"
"very high","very high",2,2,"large","medium","unacceptable"
"very high","very high",2,2,"large","high","unacceptable"
"very high","very high",2,4,"small","low","unacceptable"
"very high","very high",2,4,"small","medium","unacceptable"
"very high","very high",2,4,"small","high","unacceptable"
"very high","very high",2,4,"medium","low","unacceptable"
"very high","very high",2,4,"medium","medium","unacceptable"
"very high","very high",2,4,"medium","high","unacceptable"
"very high","very high",2,4,"large","low","unacceptable"
"very high","very high",2,4,"large","medium","unacceptable"
"very high","very high",2,4,"large","high","unacceptable"
"very high","very high",2,"Interval[{5, Infinity}]","small","low","unacceptable"
"very high","very high",2,"Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","very high",2,"Interval[{5, Infinity}]","small","high","unacceptable"
"very high","very high",2,"Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","very high",2,"Interval[{5, Infinity}]","medium","medium","unacceptable"
"very high","very high",2,"Interval[{5, Infinity}]","medium","high","unacceptable"
"very high","very high",2,"Interval[{5, Infinity}]","large","low","unacceptable"
"very high","very high",2,"Interval[{5, Infinity}]","large","medium","unacceptable"
"very high","very high",2,"Interval[{5, Infinity}]","large","high","unacceptable"
"very high","very high",3,2,"small","low","unacceptable"
"very high","very high",3,2,"small","medium","unacceptable"
"very high","very high",3,2,"small","high","unacceptable"
"very high","very high",3,2,"medium","low","unacceptable"
"very high","very high",3,2,"medium","medium","unacceptable"
"very high","very high",3,2,"medium","high","unacceptable"
"very high","very high",3,2,"large","low","unacceptable"
"very high","very high",3,2,"large","medium","unacceptable"
"very high","very high",3,2,"large","high","unacceptable"
"very high","very high",3,4,"small","low","unacceptable"
"very high","very high",3,4,"small","medium","unacceptable"
"very high","very high",3,4,"small","high","unacceptable"
"very high","very high",3,4,"medium","low","unacceptable"
"very high","very high",3,4,"medium","medium","unacceptable"
"very high","very high",3,4,"medium","high","unacceptable"
"very high","very high",3,4,"large","low","unacceptable"
"very high","very high",3,4,"large","medium","unacceptable"
"very high","very high",3,4,"large","high","unacceptable"
"very high","very high",3,"Interval[{5, Infinity}]","small","low","unacceptable"
"very high","very high",3,"Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","very high",3,"Interval[{5, Infinity}]","small","high","unacceptable"
"very high","very high",3,"Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","very high",3,"Interval[{5, Infinity}]","medium","medium","unacceptable"
"very high","very high",3,"Interval[{5, Infinity}]","medium","high","unacceptable"
"very high","very high",3,"Interval[{5, Infinity}]","large","low","unacceptable"
"very high","very high",3,"Interval[{5, Infinity}]","large","medium","unacceptable"
"very high","very high",3,"Interval[{5, Infinity}]","large","high","unacceptable"
"very high","very high",4,2,"small","low","unacceptable"
"very high","very high",4,2,"small","medium","unacceptable"
"very high","very high",4,2,"small","high","unacceptable"
"very high","very high",4,2,"medium","low","unacceptable"
"very high","very high",4,2,"medium","medium","unacceptable"
"very high","very high",4,2,"medium","high","unacceptable"
"very high","very high",4,2,"large","low","unacceptable"
"very high","very high",4,2,"large","medium","unacceptable"
"very high","very high",4,2,"large","high","unacceptable"
"very high","very high",4,4,"small","low","unacceptable"
"very high","very high",4,4,"small","medium","unacceptable"
"very high","very high",4,4,"small","high","unacceptable"
"very high","very high",4,4,"medium","low","unacceptable"
"very high","very high",4,4,"medium","medium","unacceptable"
"very high","very high",4,4,"medium","high","unacceptable"
"very high","very high",4,4,"large","low","unacceptable"
"very high","very high",4,4,"large","medium","unacceptable"
"very high","very high",4,4,"large","high","unacceptable"
"very high","very high",4,"Interval[{5, Infinity}]","small","low","unacceptable"
"very high","very high",4,"Interval[{5, Infinity}]","small","medium","unacceptable"
"very high","very high",4,"Interval[{5, Infinity}]","small","high","unacceptable"
"very high","very high",4,"Interval[{5, Infinity}]","medium","low","unacceptable"
"very high","very high",4,"Interval[{5, Infinity}]","medium","medium","unacceptable"
"very high","very high",4,"Interval[{5, Infinity}]","medium","high","unacceptable"
"very high","very high",4,"Interval[{5, Infinity}]","large","low","unacceptable"
"very high","very high",4,"Interval[{5, Infinity}]","large","medium","unacceptable"
"very high","very high",4,"Interval[{5, Infinity}]","large","high","unacceptable"
"very high","very high","Interval[{5, Infinity}]",2,"small","low","unacceptable"
"very high","very high","Interval[{5, Infinity}]",2,"small","medium","unacceptable"
"very high","very high","Interval[{5, Infinity}]",2,"small","high","unacceptable"
"very high","very high","Interval[{5, Infinity}]",2,"medium","low","unacceptable"
"very high","very high","Interval[{5, Infinity}]",2,"medium","medium","unacceptable"
"very high","very high","Interval[{5, Infinity}]",2,"medium","high","unacceptable"
